CMTE_ID,CMTE_NM,CMTE_TP,CMTE_CITY,CMTE_ST,CMTE_ZIP,CMTE_DSGN,CMTE_PTY_AFFILIATION,ORG_TP,CONNECTED_ORG_NM,CAND_ID
C00707471,CHRIS TAYLOR FOR ARIZONA,H,SAFFORD,AZ,85546,P,REP,,NONE,H0AZ01366
C00707976,CMTE TO ELECT LARRY  WILLIAMS,H,CHAMBERS,AZ,86502,P,DEM,,NONE,
C00708149,BAH FOR CONGRESS,H,TUCSON,AZ,85705,P,IND,,NONE,H0AZ02216
C00708388,LIGON 4 CONGRESS,H,SIERRA VISTA,AZ,85635,P,REP,,,H0AZ02224
C00709154,DANIEL DECLEMENTS,P,MESA,AZ,85212,P,REP,,NONE,P00012369
C00709774,STARKY FOR CONGRESS,H,PHOENIX,AZ,85032,P,DEM,,NONE,H0AZ04519
C00710418,OLSEN 4 CONGRESS,H,SURPRISE,AZ,85374,P,DEM,,,H8AZ08240
C00710582,SHAY STAUTZ FOR CONGRESS,H,TUCSON,AZ,85711,P,REP,,NONE,H0AZ02232
C00713065,JEFF DOWNARD FOR PRESIDENT OF THE UNITED STATES,P,FLAGSTAFF,AZ,86001,P,REP,,NONE,P00012872
C00713081,CHRIS HINDLE FOR CONGRESS 2020,H,PHOENIX,AZ,85013,P,REP,,NONE,H0AZ07090
C00713123,TIM TAYLOR FOR CONGRESS,H,TEMPE,AZ,85283,P,REP,,NONE,H0AZ09013
C00715748,FRIENDS OF BOB OLSEN 4 CONGRESS,H,SURPRISE,AZ,85374,P,DEM,,NONE,H0AZ08080
C00716050,COMMITTEE TO ELECT BARBARA MCGUIRE,H,KEARNY,AZ,85137,P,DEM,,,H0AZ01382
C00716944,NEVIN KOHLER FOR CONGRESS,H,TUCSON,AZ,85701,P,DEM,,,H0AZ02240
C00717025,EMILY ROBINSON FOR CONGRESS,H,TUCSON,AZ,85716,P,IND,,NONE,H0AZ04527
C00717819,COMMITTEE TO ELECT ANDRES PORTELA,H,TUCSON,AZ,85711,P,DEM,,NONE,H0AZ02257
C00717991,DEMAND DANIEL FOR US SENATE,S,GLENDALE,AZ,85308,P,REP,,NONE,S0AZ00376
C00721555,GENE SCHARER FOR CONGRESS 2020,H,BUCKEYE,AZ,85326,P,DEM,,,H0AZ06076
C00722603,JOHN W MOORE FOR CONGRESS,H,WILLIAMS,AZ,86046,P,REP,,,H0AZ01390
C00722694,REIDHEAD FOR CONGRESS,H,TUCSON,AZ,85741,P,REP,,NONE,H0AZ01408
