FIPStxt,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,class
37069,60619,1273451203,8900,14.68,25934772,2.04,888.8,4829,7.97,17852319,1.4,700.6,4071,6.72,8082453,0.63,1304.5,51719,85.32,1247516431,97.96,107.4,-1475168721.4154916,-178721381.09159136,-17705076.026579227,29867.44264963405,36394.07577850571,-2222.242122832814,-498.78457174470066,-82.10127082155117,359.59291818019284,32.171292259096,4
37071,206086,922106205,165595,80.35,352012671,38.17,1218.4,158926,77.12,334785037,36.31,1229.5,6669,3.24,17227634,1.87,1002.6,40491,19.65,570093534,61.83,184.0,-2196421361.5946565,339698910.04834145,-2314200.296882825,-265630.6171399304,665.834668441412,-2059.22958600327,432.8901968280962,-23.613308696701022,146.25869006765615,94.4253232317215,4
37073,12197,881747682,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,12197,100.0,881747682,100.0,35.8,-2011193885.185624,-208141198.03462318,-27009363.966168217,32841.14810756429,-11193.98259370268,-321.62044297615967,-1138.7201663474266,979.4035380014657,218.84708823145337,-0.5505730584129883,4
37075,8861,756481641,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,8861,100.0,756481641,100.0,30.3,-2188333711.7635922,-206016297.80559957,-26650620.353649385,31693.43877534603,-15491.144229165142,-68.75240887494418,-1088.138089208759,976.7424575328199,236.7463232313333,-3.5761360516317846,4
37077,59916,1376758990,27112,45.25,66184465,4.81,1061.0,963,1.61,3384157,0.25,737.0,26149,43.64,62800308,4.56,1078.4,32804,54.75,1310574525,95.19,64.8,-1357054140.8511062,-151421794.97491089,51402874.86168153,37181.71172920853,-7599.7121740014545,-5497.065831812574,170.51610442024804,164.99127562561983,218.79215258022813,1.5717463629605062,4
37079,21362,688749236,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,21362,100.0,688749236,100.0,80.3,-2284114710.031902,-204867336.83394837,-26456641.677685555,38747.87663637676,883.0587040718524,-760.931280819159,-1290.8478972767186,988.9683025748976,173.1622686516869,33.17168757827388,4
37081,488406,1672364534,426406,87.31,649811915,38.86,1699.5,426406,87.31,649811915,38.86,1699.5,0,0.0,0,0.0,0.0,62000,12.69,1022552619,61.14,157.0,-1340294562.3696043,811317018.2955928,-23606803.272287183,-347647.00427486026,23663.03240619703,-1373.3968596136954,110.74932134987931,595.934463650447,-621.4412314738884,19.35844543458995,4
37083,54691,1875375057,24772,45.29,40480430,2.16,1584.9,0,0.0,0,0.0,0.0,24772,45.29,40480430,2.16,1584.9,29919,54.71,1834894627,97.84,42.2,-634156573.6204717,-186490183.18745193,21583523.031943735,46418.100057798154,-512.0218079354426,5677.56035381226,-425.0860747881308,-380.605365840501,-272.3187523684193,-0.28800712624207925,4
37085,114678,1541008895,50549,44.08,121870732,7.91,1074.3,12294,10.72,31134740,2.02,1022.7,38255,33.36,90735992,5.89,1092.0,64129,55.92,1419138163,92.09,117.0,-1163245674.9319232,-83525574.51260968,86672379.93924251,24608.452573875897,21601.54304243947,-8369.005778771747,28.833230343612243,371.9404018812956,156.22897821003107,17.011871067319493,4
37087,59036,1434055217,26306,44.56,62873556,4.38,1083.6,26306,44.56,62873556,4.38,1083.6,0,0.0,0,0.0,0.0,32730,55.44,1371181661,95.62,61.8,-1273432563.0730088,-117573184.88178718,-28042782.64689409,-23862.33747463195,11684.449379116659,-1425.448287943152,87.28749194960832,986.9192529118471,-198.72068242981894,-10.809546784295847,4
37089,106740,966241824,71227,66.73,220039935,22.77,838.4,71227,66.73,220039935,22.77,838.4,0,0.0,0,0.0,0.0,35513,33.27,746201889,77.23,123.3,-2043113840.2461205,140176657.64161393,-25332397.001993537,-218257.10964294587,5181.880177363643,-459.3184654522384,-124.060192558397,864.6861836904221,-243.511631392978,41.554084866138005,4
37091,24669,914421664,7737,31.36,11359320,1.24,1764.1,0,0.0,0,0.0,0.0,7737,31.36,11359320,1.24,1764.1,16932,68.64,903062344,98.76,48.6,-1972863313.7199032,-197890170.83393186,-12668645.826684875,38690.58674977972,-8095.040387846197,2564.2484505442803,-34.88221531749534,-948.3919616622385,-179.8793561718319,9.480608311356065,4
37093,46952,1012022108,26692,56.85,65823443,6.5,1050.3,26692,56.85,65823443,6.5,1050.3,0,0.0,0,0.0,0.0,20260,43.15,946198665,93.5,55.5,-1872263091.3071308,-105725383.62707295,-26808415.792180147,-32902.54319078123,-4621.673173894546,-483.15984512258774,237.6272784569425,973.6418673076125,-126.03458890292279,-4.309359019645845,4
37095,5810,1586884785,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,5810,100.0,1586884785,100.0,9.5,-1014053214.7533212,-220102525.07862714,-29028778.693785258,25799.46341858676,-19898.693876187775,-286.81744814279523,-1018.4676368871204,970.5659230625511,246.81927916657352,-17.554520193933943,4
37097,159437,1486221270,98991,62.09,250454532,16.85,1023.7,98991,62.09,250454532,16.85,1023.7,0,0.0,0,0.0,0.0,60446,37.91,1235766738,83.15,126.7,-1328733773.8579767,179699913.66687033,-26556311.417815555,-212901.21655178876,36536.06247328399,-2096.8729939658874,-306.92658217769355,869.5589244833066,-420.1529111114073,16.906542431231145,4
